file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes
153,153_options-discussion.php,wordpress_4.0/wp-admin\options-discussion.php,273,13.4,2,True
154,154_class-wp-image-editor-imagick.php,wordpress_4.0/wp-includes\class-wp-image-editor-imagick.php,511,13.3,5,True
155,155_template.php,wordpress_4.0/wp-includes\template.php,505,13.2,1,True
156,156_bookmark.php,wordpress_4.0/wp-includes\bookmark.php,416,13.1,2,True
157,157_class-wp-users-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-users-list-table.php,459,13.1,4,True
158,158_class-wp-walker.php,wordpress_4.0/wp-includes\class-wp-walker.php,471,13.0,2,True
159,159_setup-config.php,wordpress_4.0/wp-admin\setup-config.php,345,12.7,4,True
160,160_menu.php,wordpress_4.0/wp-admin\menu.php,255,12.5,2,True
161,161_class-wp-image-editor-gd.php,wordpress_4.0/wp-includes\class-wp-image-editor-gd.php,459,12.5,4,True
162,162_class.wp-dependencies.php,wordpress_4.0/wp-includes\class.wp-dependencies.php,509,12.4,5,True
163,163_locale.php,wordpress_4.0/wp-includes\locale.php,368,12.3,3,True
164,164_MySQL.php,wordpress_4.0/wp-includes\SimplePie\Cache\MySQL.php,438,12.0,3,True
165,165_upload.php,wordpress_4.0/wp-admin\upload.php,292,11.7,6,True
166,166_class-wp-filesystem-ssh2.php,wordpress_4.0/wp-admin\includes\class-wp-filesystem-ssh2.php,392,11.7,2,True
167,167_Diff.php,wordpress_4.0/wp-includes\Text\Diff.php,450,11.7,8,True
168,168_install.php,wordpress_4.0/wp-admin\install.php,305,11.6,2,True
169,169_Parser.php,wordpress_4.0/wp-includes\SimplePie\Parser.php,407,11.6,5,True
170,170_site-users.php,wordpress_4.0/wp-admin\network\site-users.php,319,11.5,3,True
171,171_shortcodes.php,wordpress_4.0/wp-includes\shortcodes.php,410,11.5,3,True
172,172_edit-comments.php,wordpress_4.0/wp-admin\edit-comments.php,254,11.4,4,True
173,173_class-wp-embed.php,wordpress_4.0/wp-includes\class-wp-embed.php,373,11.4,3,True
174,174_class-wp-image-editor.php,wordpress_4.0/wp-includes\class-wp-image-editor.php,471,11.3,5,True
175,175_module.tag.id3v1.php,wordpress_4.0/wp-includes\ID3\module.tag.id3v1.php,359,11.3,6,True
176,176_bookmark-template.php,wordpress_4.0/wp-includes\bookmark-template.php,298,11.2,3,True
177,177_po.php,wordpress_4.0/wp-includes\pomo\po.php,384,11.2,0,False
178,178_plugin-editor.php,wordpress_4.0/wp-admin\plugin-editor.php,279,11.1,3,True
179,179_class-wp-filesystem-ftpext.php,wordpress_4.0/wp-admin\includes\class-wp-filesystem-ftpext.php,415,11.0,3,True
180,180_category.php,wordpress_4.0/wp-includes\category.php,343,10.9,1,True
181,181_Locator.php,wordpress_4.0/wp-includes\SimplePie\Locator.php,372,10.9,5,True
182,182_wp-settings.php,wordpress_4.0/wp-settings.php,374,10.9,1,True
183,183_theme-install.php,wordpress_4.0/wp-admin\theme-install.php,278,10.8,3,True
184,184_module.tag.lyrics3.php,wordpress_4.0/wp-includes\ID3\module.tag.lyrics3.php,294,10.8,5,True
185,185_users.php,wordpress_4.0/wp-admin\network\users.php,296,10.8,2,True
186,186_themes.php,wordpress_4.0/wp-admin\network\themes.php,266,10.7,6,True
187,187_atomlib.php,wordpress_4.0/wp-includes\atomlib.php,352,10.7,8,True
188,188_Parser.php,wordpress_4.0/wp-includes\SimplePie\HTTP\Parser.php,500,10.6,4,True
189,189_functions.wp-scripts.php,wordpress_4.0/wp-includes\functions.wp-scripts.php,258,10.4,1,True
190,190_options.php,wordpress_4.0/wp-admin\options.php,265,10.2,4,True
191,191_module.audio.dts.php,wordpress_4.0/wp-includes\ID3\module.audio.dts.php,290,10.2,4,True
192,192_admin.php,wordpress_4.0/wp-admin\admin.php,347,10.1,2,True
193,193_theme-editor.php,wordpress_4.0/wp-admin\theme-editor.php,243,10.0,3,True
194,194_update.php,wordpress_4.0/wp-admin\update.php,272,9.9,4,True
195,195_class-wp-ms-users-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-ms-users-list-table.php,303,9.8,4,True
196,196_session.php,wordpress_4.0/wp-includes\session.php,425,9.7,4,True
197,197_notice.php,wordpress_4.0/wp-content\plugins\akismet\views\notice.php,102,9.7,1,True
198,198_options-writing.php,wordpress_4.0/wp-admin\options-writing.php,194,9.6,2,True
199,199_widgets.php,wordpress_4.0/wp-content\themes\twentyfourteen\inc\widgets.php,269,9.6,2,True
